id,order_number,customer_account_id,branch_id,status,created_at,grand_total,order_total,net_total,vat_total,subtotal,canonical_order_items_total,customer_ledger_invoice_total,customer_invoice_total,active_allocated,classification
6f1f9816-ee64-495d-b30c-8395dca4f6df,ORD-1782236379584,a9a2e130-f584-40ea-a288-b2901bca39fb,4c621f1e-5e75-47b9-a6e0-0f6f46c3b0b0,Delivered,2026-06-23 17:39:40.267501,0,813.85,813.85,0.00,813.85,813.85,813.85,813.85,813.85,VALID LEGACY INVOICE - order header total stale
b7dcf1e4-9532-4253-aa14-a7059cb63e96,ORD-1782382305857,9d512b68-645b-4643-8d9a-e8cd8941c779,,Delivered,2026-06-25 10:11:51.358345,0,208.00,0,0,0.00,179.50,,179.50,179.50,VALID LEGACY INVOICE - order header total stale
a0385599-ff28-44d5-b815-175a7025e65f,ORD-1782383765878,d4cf28c6-803f-4d60-9909-e11a6d202059,,Delivered,2026-06-25 10:36:12.614061,0,709.91,0,0,0.00,614.84,,614.84,614.84,VALID LEGACY INVOICE - order header total stale
6ecdcbd7-c3c3-4bd9-ad59-8a3c2e8feb69,ORD-1782384272619,cf77177c-1a9d-4fe2-8b32-ee8d08c6fb68,,Delivered,2026-06-25 10:44:38.312744,0,557.50,0,0,0.00,531.98,,531.98,531.98,VALID LEGACY INVOICE - order header total stale
753abf3e-0766-424f-973e-8ad439b27c18,ORD-1782399573268,66e693be-2c8c-4f60-a50b-914396060f91,,Delivered,2026-06-25 14:59:33.677061,0,612.00,0,0,0.00,478.50,,478.50,478.50,VALID LEGACY INVOICE - order header total stale
7fa1fe68-a02b-4129-b5b5-e0574f8328b2,ORD-1782415703998,3c525a75-a937-4320-ac36-8e56ed3aa678,,Delivered,2026-06-25 19:28:24.340945,0,275.72,0,0,0.00,244.68,,244.68,244.68,VALID LEGACY INVOICE - order header total stale
3dee0a46-f7cb-40eb-89f0-fd18d8389899,ORD-1782473098129,0449f4e8-7ef5-45c6-990b-8ab8bd80f6fd,,Delivered,2026-06-26 11:24:58.347959,0,693.75,0,0,0.00,658.10,,658.10,605.85,VALID LEGACY INVOICE - order header total stale
fdbe4864-88c3-4c7e-bcb0-a54bdecd1e82,ORD-1782473687140,a9a2e130-f584-40ea-a288-b2901bca39fb,d1adb697-2de3-4cf6-b898-aa16e32d4a79,Delivered,2026-06-26 11:34:47.339827,0,832.25,0,0,0.00,759.75,759.75,759.75,759.75,VALID LEGACY INVOICE - order header total stale
9a6ded0c-a2b2-4064-b961-c2b00ff38604,ORD-1782475316696,5a17e23f-b252-423f-8574-26888dd487b2,,Delivered,2026-06-26 12:01:56.147479,0,178.46,0,0,0.00,190.00,,190.00,190.00,VALID LEGACY INVOICE - order header total stale
b85d8057-5427-4c96-bcae-5edd1f980f5a,ORD-1782475989143,6d2d66c7-81fa-43d4-95a9-ea3f450c7be1,,Delivered,2026-06-26 12:13:09.227047,0,380.08,316.73,63.35,316.73,546.55,380.08,546.55,546.55,VALID LEGACY INVOICE - order header total stale
ebfeec03-edff-4252-a713-a9f1dd621126,ORD-1782482016846,aa9fd387-792b-44dc-90e9-d1d7c4822277,,Delivered,2026-06-26 13:53:36.972569,0,236.50,0,0,0.00,446.72,,446.72,446.72,VALID LEGACY INVOICE - order header total stale
31fdc313-d922-4577-b393-742868daa352,ORD-1782563298437,03e4191e-9413-47e2-91f4-220384a0fece,,Delivered,2026-06-27 12:28:19.597156,0,334.22,0,0,0.00,347.08,,347.08,347.08,VALID LEGACY INVOICE - order header total stale
f8cd7824-8221-48fc-8993-62ec0ccbc35f,ORD-1782563657413,b5c546d2-2b21-48f4-af55-7b0d13fa3791,,Delivered,2026-06-27 12:34:18.554589,0,213.00,0,0,0.00,297.27,,297.27,297.27,VALID LEGACY INVOICE - order header total stale
0f3b5266-9455-428a-bb13-25755c022671,ORD-1782678864825,7121f685-1d2f-4ec1-81ad-a775581e1665,,Delivered,2026-06-28 20:34:24.958328,0,210.25,0,0,0.00,131.75,131.75,131.75,131.75,VALID LEGACY INVOICE - order header total stale
551a7598-0e71-4235-992d-19d3712c48f0,ORD-1782981495034,d4cf28c6-803f-4d60-9909-e11a6d202059,,Delivered,2026-07-02 08:38:14.097767,0,790.20,0,131.70,0.00,634.20,,634.20,634.20,VALID LEGACY INVOICE - order header total stale
96188fa0-4cec-4801-bfa0-3afbff692d45,ORD-1782981920806,f5874ce0-a9f1-46f6-90ae-6fe899066407,,Delivered,2026-07-02 08:45:21.087283,0,606.90,0,101.15,0.00,537.30,,537.30,537.30,VALID LEGACY INVOICE - order header total stale
e7d85216-ed21-442f-b738-3a69e98561a3,ORD-1782994760267,cf77177c-1a9d-4fe2-8b32-ee8d08c6fb68,,Delivered,2026-07-02 12:19:31.047425,0,403.32,0,0,0.00,445.14,,445.14,445.14,VALID LEGACY INVOICE - order header total stale
eecef408-0d77-48e2-a609-ba98bc988a13,ORD-1783018640672,3c525a75-a937-4320-ac36-8e56ed3aa678,,Delivered,2026-07-02 18:57:20.853309,0,431.40,0,71.90,0.00,359.40,,359.40,359.40,VALID LEGACY INVOICE - order header total stale
740c9121-04a6-4830-981b-e34da5747f0d,ORD-1783022404316,2b47678a-6482-4c53-ae2b-838ee7f770d5,,Delivered,2026-07-02 20:00:04.647783,0,484.2,0,93.35,0.00,484.20,484.20,484.20,484.20,VALID LEGACY INVOICE - order header total stale
4e075505-b463-4c74-90cd-826155bc6561,ORD-1783023142806,63d35c9e-bff6-4bf0-8336-8e5f09af4751,,Delivered,2026-07-02 20:12:23.204798,0,1336.20,0,222.70,0.00,1357.20,1357.20,1357.20,1357.20,VALID LEGACY INVOICE - order header total stale
fdfc349c-58ac-40f5-ad09-279cc9ab11fc,ORD-1783073506539,0449f4e8-7ef5-45c6-990b-8ab8bd80f6fd,,Delivered,2026-07-03 10:11:32.062723,0,1205.50,0,0.00,0.00,1226.00,,1226.00,1226.00,VALID LEGACY INVOICE - order header total stale
1c566632-8cdd-4d02-9520-db048456f6fa,ORD-1783074670413,e1f2010f-7024-404c-91fe-9a4ae0748c66,,Delivered,2026-07-03 10:30:55.725306,0,528.90,0,88.15,0.00,421.50,,421.50,421.50,VALID LEGACY INVOICE - order header total stale
6ba7ae37-8a62-4803-96ee-84636e20a086,ORD-1783075377516,9d512b68-645b-4643-8d9a-e8cd8941c779,,Delivered,2026-07-03 10:42:42.832017,0,330.00,0,0.00,0.00,313.25,,313.25,313.25,VALID LEGACY INVOICE - order header total stale
28f46dbe-c3bb-4421-971a-3ad3029eb049,ORD-1783076255459,6d2d66c7-81fa-43d4-95a9-ea3f450c7be1,,Delivered,2026-07-03 10:57:20.694415,0,285.30,0,47.55,0.00,266.70,,266.70,266.70,VALID LEGACY INVOICE - order header total stale
c7de9bac-6155-4a7b-9680-81ec3cb8bea9,ORD-1783076756318,acaa9912-50b3-4358-bc3e-d4f951217907,,Delivered,2026-07-03 11:05:41.525731,0,341.40,0,56.90,0.00,315.00,,315.00,135.00,VALID LEGACY INVOICE - order header total stale
2b680ee2-389b-44c8-8106-bc82d775658f,ORD-1783077151402,7d53e1ff-2aa6-47b2-9f58-739a5f1efdd8,,Delivered,2026-07-03 11:12:16.709069,0,132.90,0,22.15,0.00,123.30,,123.30,123.30,VALID LEGACY INVOICE - order header total stale
27850629-a5b3-49bc-80b3-cbce89f1a89b,ORD-1783148387031,a9a2e130-f584-40ea-a288-b2901bca39fb,0d3f6e8c-5c98-443f-b3b3-4c8af20214c8,Delivered,2026-07-04 06:59:47.85692,0,823.95,823.95,0.00,823.95,823.95,823.95,823.95,200.00,VALID LEGACY INVOICE - order header total stale
ebcf105d-e56a-4bf7-8b58-4cb585cafddc,ORD-1783170919330,a9a2e130-f584-40ea-a288-b2901bca39fb,4c621f1e-5e75-47b9-a6e0-0f6f46c3b0b0,Delivered,2026-07-04 13:15:18.495197,0,328.75,328.75,0.00,328.75,328.75,328.75,328.75,328.75,VALID LEGACY INVOICE - order header total stale
